DATE_MATCH|VISITEUR|LOCAL
2012.09.21 19:00:00|Chicoutimi|Québec
2012.09.23 15:00:00|Baie-Comeau|Québec
2012.09.29 16:00:00|Québec|Sherbrooke
2012.09.30 15:00:00|Val-d'Or|Québec
2012.10.02 19:30:00|Québec|Chicoutimi
2012.10.05 19:00:00|Victoriaville|Québec
2012.10.06 19:00:00|Rimouski|Québec
2012.10.07 16:00:00|Québec|Blainville-Boisbriand
2012.10.12 19:30:00|Québec|Gatineau
2012.10.17 19:00:00|Saint John|Québec
2012.10.19 19:00:00|Québec|Victoriaville
2012.10.21 16:00:00|Québec|Drummondville
2012.10.25 19:00:00|Baie-Comeau|Québec
2012.10.26 19:00:00|Shawinigan|Québec
2012.10.28 15:00:00|Gatineau|Québec
2012.11.02 19:30:00|Québec|Acadie-Bathurst
2012.11.03 16:00:00|Québec|Rimouski
2012.11.09 19:00:00|PEI|Québec
2012.11.11 15:00:00|Cape Breton|Québec
2012.11.14 19:00:00|Québec|Rimouski
2012.11.16 19:30:00|Québec|Shawinigan
2012.11.18 15:00:00|Victoriaville|Québec
2012.11.21 19:00:00|Acadie-Bathurst|Québec
2012.11.23 19:00:00|Sherbrooke|Québec
2012.11.25 16:00:00|Québec|Chicoutimi
2012.11.28 19:00:00|PEI|Québec
2012.11.30 19:00:00|Rouyn-Noranda|Québec
2012.12.02 16:00:00|Québec|Baie-Comeau
2012.12.05 19:00:00|Québec|PEI
2012.12.07 19:30:00|Québec|Acadie-Bathurst
2012.12.08 19:00:00|Québec|Saint John
2012.12.13 19:00:00|Québec|Drummondville
2012.12.14 19:30:00|Québec|Shawinigan
2012.12.16 15:00:00|Chicoutimi|Québec
2012.12.20 19:00:00|Québec|Victoriaville
2012.12.21 19:00:00|Rimouski|Québec
2012.12.28 19:00:00|Baie-Comeau|Québec
2012.12.30 16:00:00|Québec|Sherbrooke
2013.01.04 19:30:00|Québec|Rouyn-Noranda
2013.01.05 19:00:00|Québec|Val-d'Or
2013.01.10 19:30:00|Québec|Chicoutimi
2013.01.11 19:00:00|Shawinigan|Québec
2013.01.12 19:00:00|Val-d'Or|Québec
2013.01.18 19:00:00|Halifax|Québec
2013.01.20 15:00:00|Rouyn-Noranda|Québec
2013.01.24 19:00:00|Québec|Cape Breton
2013.01.26 19:00:00|Québec|Halifax
2013.01.27 16:00:00|Québec|Moncton
2013.02.01 19:00:00|Drummondville|Québec
2013.02.02 19:00:00|Blainville-Boisbriand|Québec
2013.02.05 19:30:00|Québec|Gatineau
2013.02.08 19:30:00|Québec|Shawinigan
2013.02.09 19:00:00|Victoriaville|Québec
2013.02.10 15:00:00|Shawinigan|Québec
2013.02.15 19:30:00|Québec|Baie-Comeau
2013.02.17 16:00:00|Québec|Rimouski
2013.02.19 19:00:00|Blainville-Boisbriand|Québec
2013.02.22 19:30:00|Québec|Rouyn-Noranda
2013.02.23 19:00:00|Québec|Val-d'Or
2013.02.26 19:00:00|Chicoutimi|Québec
2013.03.01 19:00:00|Drummondville|Québec
2013.03.02 19:00:00|Moncton|Québec
2013.03.05 19:30:00|Québec|Baie-Comeau
2013.03.08 19:00:00|Québec|Victoriaville
2013.03.10 16:00:00|Québec|Blainville-Boisbriand
2013.03.12 19:00:00|Sherbrooke|Québec
2013.03.15 19:00:00|Gatineau|Québec
2013.03.17 15:00:00|Rimouski|Québec
